"[<h2 class=""css-m604qf""><style data-emotion=""css o171kl"">.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}</style><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/g/kuNZRjeNq2NE-Full-Stack-Developer-Gulf-Business-Machines-PND-Riyadh-Saudi-Arabia"" rel=""noreferrer"" target=""_blank"">Full Stack Developer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/g/QWZylMwGmRpQ-Backend-Developer-Gulf-Business-Machines-PND-Riyadh-Saudi-Arabia"" rel=""noreferrer"" target=""_blank"">Backend Developer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/g/Mbs3M0PeocRY-Senior-Application-Specialist-Manpower-Dubai-United-Arab-Emirates"" rel=""noreferrer"" target=""_blank"">Senior Application Specialist</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/HWHzrRFRoGvC-RShiny-Developer-Appsilon-Cairo-Egypt"" rel=""noreferrer"" target=""_blank"">R/Shiny Developer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/czcfIFRJ8484-Odoo-Functional-Consultant-Project-Manager-Quick-Services-Cairo-Egypt"" rel=""noreferrer"" target=""_blank"">Odoo Functional Consultant &amp; Project Manager</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/CZIAACoRzDeJ-Business-Intelligence-Engineer-Amazon-Middle-East-and-North-Africa-FZ-LLC---F52-Dubai-United-Arab-Emirates"" rel=""noreferrer"" target=""_blank"">Business Intelligence Engineer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/uPujStCZE9Cz-Senior-IOT-Engineer-Noases-Cairo-Egypt"" rel=""noreferrer"" target=""_blank"">Senior IOT Engineer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/g/OVkaE6HxSjBT-Software-Development-Manager-Gulf-Business-Machines-PND-Riyadh-Saudi-Arabia"" rel=""noreferrer"" target=""_blank"">Software Development Manager</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/g/NaNRVppE3ZMr-Security-Engineer-Core42-Dubai-United-Arab-Emirates"" rel=""noreferrer"" target=""_blank"">Security Engineer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/qMWxwTQXCxUK-IT-Services-Consulting-Beinex-Dubai-United-Arab-Emirates"" rel=""noreferrer"" target=""_blank"">IT Services &amp; Consulting</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/g/9U89U4II8T4H-Network-Implementation-Engineer-Google-Riyadh-Saudi-Arabia"" rel=""noreferrer"" target=""_blank"">Network Implementation Engineer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/g/TZvasRhotkdn-Senior-Security-Engineer-Core42-Dubai-United-Arab-Emirates"" rel=""noreferrer"" target=""_blank"">Senior Security Engineer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/Ww7zDNcpxBV5-Senior-Data-Engineer-Mozn-Riyadh-Saudi-Arabia"" rel=""noreferrer"" target=""_blank"">Senior Data Engineer</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/QDHwDyi7UfdP-Analyst-Careem-Dubai-United-Arab-Emirates"" rel=""noreferrer"" target=""_blank"">Analyst</a></h2>, <h2 class=""css-m604qf""><a class=""css-o171kl"" href=""https://wuzzuf.net/jobs/p/v8tJijri9zFf-Solution-Architect---Abu-Dhabi-UAE-Ref-005213-Novancy-Consulting-Dubai-United-Arab-Emirates"" rel=""noreferrer"" target=""_blank"">Solution Architect - Abu Dhabi UAE Ref. 005213</a></h2>]","[<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Gulf Business Machines PND-Saudi Arabia-92832"" rel=""noreferrer"" target=""_blank"">Gulf Business Machines PND -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Gulf Business Machines PND-Saudi Arabia-92832"" rel=""noreferrer"" target=""_blank"">Gulf Business Machines PND -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Manpower Aggregated-United Arab Emirates-97610"" rel=""noreferrer"" target=""_blank"">Manpower -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Appsilon-Egypt-99757"" rel=""noreferrer"" target=""_blank"">Appsilon -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/quickservices-Egypt-59529"" rel=""noreferrer"" target=""_blank"">Quick Services -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Amazon Middle East and North Africa FZ-LLC - F52-United Arab Emirates-95772"" rel=""noreferrer"" target=""_blank"">Amazon Middle East and North Africa FZ-LLC - F52 -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/parmagyat-Egypt-93597"" rel=""noreferrer"" target=""_blank"">Noases -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Gulf Business Machines PND-Saudi Arabia-92832"" rel=""noreferrer"" target=""_blank"">Gulf Business Machines PND -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Core42-United Arab Emirates-100007"" rel=""noreferrer"" target=""_blank"">Core42 -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Beinex-United Arab Emirates-98907"" rel=""noreferrer"" target=""_blank"">Beinex -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Google-United Arab Emirates-99923"" rel=""noreferrer"" target=""_blank"">Google -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Core42-United Arab Emirates-100007"" rel=""noreferrer"" target=""_blank"">Core42 -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Mozn-Saudi Arabia-98904"" rel=""noreferrer"" target=""_blank"">Mozn -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Careem Aggregated-United Arab Emirates-97693"" rel=""noreferrer"" target=""_blank"">Careem -</a>, <a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Novancy Consulting-Saudi Arabia-96569"" rel=""noreferrer"" target=""_blank"">Novancy Consulting -</a>]","[<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>, <span class=""css-1ve4b75 eoyjyou0"">Full Time</span>]","[<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>, <span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>, <span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>, <span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>, <span class=""css-5wys0k"">Shorouk City, <!-- -->Cairo, <!-- -->Egypt </span>, <span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>, <span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>, <span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>, <span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>, <span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>, <span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>, <span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>, <span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>, <span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>, <span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>]"
Remote Python Data Science Professional,Turing -,Full Time,"Cairo, Egypt"
Python Engineer (Mid-Level),Robert Walters -,Freelance / Project,"Dubai, United Arab Emirates"
Remote Python Software Specialist,Turing -,Full Time,"Cairo, Egypt"
Python Developer,Elarkan for construction -,Part Time,"Smouha, Alexandria, Egypt"
Python Developer,Fekra Technology Solutions and Construction -,Freelance / Project,"Dokki, Giza, Egypt"
Python Developer,Afaqy -,Work From Home,"Maadi, Cairo, Egypt"
Python Developer/Java Developer,Confidential -,Full Time,"Cairo, Egypt"
Python Developer,RTX for Shipping -,Work From Home,"Nasr City, Cairo, Egypt"
Python | Odoo Developer,Confidential -,Full Time,"Cairo, Egypt"
Sennior Python Django Backend Developer,Your Parts -,Full Time,"Maadi, Cairo, Egypt"
Senior Data Scientist,Etisalat Egypt -,Part Time,"Maadi, Cairo, Egypt"
Senior Software Engineer,Confidential -,Work From Home,"Nasr City, Cairo, Egypt"
Software Project Manager (Odoo),Outservingplus -,Full Time,"Cairo, Egypt"
Senior Data Scientist,Wakeb Data -,Full Time,"Mohandessin, Giza, Egypt"
Sr. Software Developer (Odoo),Outservingplus -,Full Time,"New Cairo, Cairo, Egypt"
Senior Odoo Developer,Crevisoft Corporation -,Full Time,"Maadi, Cairo, Egypt"
Analog Design Automation Engineer,Master Micro -,Full Time,"Cairo, Egypt"
Coding Instructor,Machinfy -,Full Time,"Cairo, Egypt"
Linux Systems Administrator,MIGRATIONIT -,Full Time,"Cairo, Egypt"
Remote Data Scientist,Turing -,Full Time,"Cairo, Egypt"
"Senior I / Senior II, Embedded Systems, (RTOS)",Arrow Electronics -,Full Time,"Cairo, Egypt"
Data Scientist,MIGRATIONIT -,Full Time,"Cairo, Egypt"
ERPNext Developer,CBS Comprehensive Business Services -,Full Time,"Riyadh, Saudi Arabia"
Jr. DevOps Engineer,Misr Technology Services -,Full Time,"Cairo, Egypt"
Data Scientist,Mozn -,Full Time,"Riyadh, Saudi Arabia"
Process Engineer,Procter & Gamble -,Full Time,"Riyadh, Saudi Arabia"
Sales Graduate Hydronics,Danfoss -,Full Time,"Riyadh, Saudi Arabia"
Machine Learning Engineer,Siemens Digital Industries Software -,Full Time,"Cairo, Egypt"
Data Analyst,Talent Disruptors -,Full Time,"Cairo, Egypt"
"Engineer, Reliability",Adnocdistribution -,Full Time,"Abu Dhabi, United Arab Emirates"
"Engineer, Reliability",ADNOC (Abu Dhabi National Oil Company) -,Full Time,"Abu Dhabi, United Arab Emirates"
Professional Services Consultant,"Fortinet, Inc -",Full Time,"Riyadh, Saudi Arabia"
PBCG Reliability Engineer,WhiteCrow Research -,Full Time,"Riyadh, Saudi Arabia"
Senior Lead - Investment Advisory- Private Banking,Emirates Islamic -,Full Time,"Dubai, United Arab Emirates"
Rail Systems Assessor (ISA) - GCC Region,ewi recruitment -,Full Time,"Dubai, United Arab Emirates"
Data Science Manager,Michael Page -,Full Time,"Riyadh, Saudi Arabia"
"Engineer, Reliability",ADNOC Group -,Full Time,"Dubai, United Arab Emirates"
Consultant-People Services,KPMG Lower Gulf -,Full Time,"Dubai, United Arab Emirates"
Cluster Talent & Culture Manager,Hotel Chadstone Melbourne MGallery -,Full Time,"Dubai, United Arab Emirates"
Senior Machine Operator,AstraZeneca -,Full Time,"Cairo, Egypt"
Data and Reporting Analyst,Help AG -,Full Time,"Dubai, United Arab Emirates"
Applied Scientist - Research,Core42 -,Full Time,"Dubai, United Arab Emirates"
RPA Developer,MIGRATIONIT -,Full Time,"Cairo, Egypt"
Data Analyst,Parsons Corporation -,Full Time,"Riyadh, Saudi Arabia"
Digital Data Analyst (Entry Level),Kompi Hal Concepta -,Part Time,"Kuwait City, Kuwait"
Learning & Development Manager - Pre-Opening,Rotana Hotels & Resorts -,Full Time,"Matruh, Egypt"
Software Tester,Etisalat Egypt -,Full Time,"Maadi, Cairo, Egypt"
Devops Engineer,Gulf Business Machines PND -,Full Time,"Riyadh, Saudi Arabia"
Junior Backend Software Developer (RESTful APIs & Django),Estafsar -,Full Time,"Sheikh Zayed, Giza, Egypt"
Linux Systems Engineer,MIGRATIONIT -,Full Time,"Cairo, Egypt"
AI/ Machine Learning Sr. Engineer,MIGRATIONIT -,Full Time,"Cairo, Egypt"
Java Engineer (Mid-Level),Robert Walters -,Freelance / Project,"Dubai, United Arab Emirates"
Data Center Engineer,MIGRATIONIT -,Full Time,"Cairo, Egypt"
DATA SCIENTIST - CLEARPEAKS,Talent Pal -,Full Time,"Dubai, United Arab Emirates"
Ruby Developer,MIGRATIONIT -,Full Time,"Cairo, Egypt"
Process Engineer - NGL Fractionation,ICM People do Brasil -,Full Time,"Riyadh, Saudi Arabia"
Process Engineer - CCR Platformer,ICM People do Brasil -,Full Time,"Riyadh, Saudi Arabia"
Site Reliability Engineer_VOIS,_VOIS -,Full Time,"Cairo, Egypt"
Senior Infrastructure System Engineer_VOIS,_VOIS -,Full Time,"Cairo, Egypt"
Head of Risk Consulting,Aon -,Full Time,"Riyadh, Saudi Arabia"
Data Scientist,Presight -,Full Time,"Dubai, United Arab Emirates"
Manager Asset Integrity,Dolphin Energy -,Full Time,"Doha, Qatar"
Would you like to teach in and around Dubai?,"SABIS® Network Schools UAE, Oman, Qatar and Bahrain -",Full Time,"Dubai, United Arab Emirates"
"Learning & Development Executive - Marriott International, Inc",Talent Pal -,Full Time,"Dubai, United Arab Emirates"
DevOps Engineer - Levelset,"Levelset, a Procore Company -",Full Time,"Cairo, Egypt"
"Analyst, Data",ROSHN l روشن -,Full Time,"Riyadh, Saudi Arabia"
Backend Developer,GCV -,Full Time,"6th of October, Giza, Egypt"
Data Analyst (0 Experience Required),Peroptyx -,Freelance / Project,"Riyadh, Saudi Arabia"
Junior DevOps SW Engineer _VOIS,_VOIS -,Full Time,"Cairo, Egypt"
Data Analyst,Rubikal -,Full Time,"Cairo, Egypt"
"Full Stack Engineer, Totogi (Remote) - $100,000/year USD",Crossover -,Work From Home,"Cairo, Egypt"
"Data Analyst, Trilogy (Remote) - $100,000/year USD",Crossover -,Full Time,"Cairo, Egypt"
Data Scientist,Foreground Consultancy -,Full Time,"Riyadh, Saudi Arabia"
DevOps Engineer,Foreground Consultancy -,Full Time,"Dubai, United Arab Emirates"
SDET (Software Development Engineer in Test),leantech.me -,Full Time,"Dubai, United Arab Emirates"
Senior Data Engineer - ETL and IoT Integration Specialist,Confidential -,Full Time,"6th of October, Giza, Egypt"
Learning & Development Officer,Centro Olaya -,Full Time,"Riyadh, Saudi Arabia"
Senior Odoo Developer,National Technology -,Full Time,"Nasr City, Cairo, Egypt"
Windows Administrator,Emaratech -,Full Time,"Dubai, United Arab Emirates"
DevOps Engineer,Adecco -,Full Time,"Dubai, United Arab Emirates"
Odoo Developer,Vettib -,Freelance / Project,"Nasr City, Cairo, Egypt"
Data Analyst,Ali Bin Ali -,Full Time,"Doha, Qatar"
Cloud Engineer,Link Datacenter -,Full Time,"Maadi, Cairo, Egypt"
Odoo Developer,National Technology -,Full Time,"Nasr City, Cairo, Egypt"
Backup Administrator - (Proficiency in French Language is required),DeepSource -,Full Time,"Cairo, Egypt"
Lead Operation Engineer,NPCC -,Full Time,"Dubai, United Arab Emirates"
Senior Consultant for Risk and Compliance (Arabic Speaking),Corporate General Solutions (Pvt.) Ltd -,Full Time,"Riyadh, Saudi Arabia"
App/ Software / Solution Architect,Sscegypt -,Full Time,"Cairo, Egypt"
Lead DevOps Engineer,"Integrant, Inc. -",Full Time,"Cairo, Egypt"
Senior Data Scientist II,Alphapartners -,Full Time,"Dubai, United Arab Emirates"
App/ Software / Solution Architect,SSC -,Full Time,"Cairo, Egypt"
"Senior Backend Engineer, Talent Operations",WorkMotion -,Full Time,"Cairo, Egypt"
Azure Administrator,VAM Systems -,Work From Home,"Dubai, United Arab Emirates"
Process Engineer,Stantec -,Full Time,"Dubai, United Arab Emirates"
Data Center Engineer,VAS Integrated Solutions -,Full Time,"Cairo, Egypt"
Senior Developer,OdooTec -,Full Time,"Cairo, Egypt"
Senior Software Devops + GCP Engineer _VOIS,Vodafone - Egypt -,Full Time,"Cairo, Egypt"
Data Analyst,Raya Trade & Distribution -,Full Time,"Cairo, Egypt"
Development Tech Lead,KnowledgeNet -,Full Time,"Cairo, Egypt"
Azure Administrator,VAM Systems -,Full Time,"Doha, Qatar"
RPA & Digital Solutions Engineer,Vodafone - Egypt -,Full Time,"Cairo, Egypt"
Data Analyst Trainee,DigitalQatalyst DMCC -,Full Time,"Dubai, United Arab Emirates"
Devops Engineer,3i Vision LTD. -,Full Time,"Hadayek Alahram, Giza, Egypt"
Senior Odoo Developer,Boutiqaat -,Full Time,"Heliopolis, Cairo, Egypt"
