job titles,company name,Location
Python Developer,Elarkan for construction -,"Smouha, Alexandria, Egypt"
Python Developer,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt"
Python Developer,Afaqy -,"Maadi, Cairo, Egypt"
Python Developer/Java Developer,Confidential -,"Cairo, Egypt"
Python Developer,RTX for Shipping -,"Nasr City, Cairo, Egypt"
Python | Odoo Developer,Confidential -,"Cairo, Egypt"
Sennior Python Django Backend Developer,Your Parts -,"Maadi, Cairo, Egypt"
Senior Data Scientist,Etisalat Egypt -,"Maadi, Cairo, Egypt"
Junior Backend Software Developer (RESTful APIs & Django),Estafsar -,"Sheikh Zayed, Giza, Egypt"
Backend Developer,GCV -,"6th of October, Giza, Egypt"
Data Science Manager,Michael Page -,"Riyadh, Saudi Arabia"
Devops Engineer,Gulf Business Machines PND -,"Riyadh, Saudi Arabia"
DATA SCIENTIST - CLEARPEAKS,Talent Pal -,"Dubai, United Arab Emirates"
Site Reliability Engineer_VOIS,_VOIS -,"Cairo, Egypt"
Junior DevOps SW Engineer _VOIS,_VOIS -,"Cairo, Egypt"
Data Scientist,Foreground Consultancy -,"Riyadh, Saudi Arabia"
Data Scientist,Presight -,"Dubai, United Arab Emirates"
Manager Asset Integrity,Dolphin Energy -,"Doha, Qatar"
Would you like to teach in and around Dubai?,"SABIS® Network Schools UAE, Oman, Qatar and Bahrain -","Dubai, United Arab Emirates"
"Learning & Development Executive - Marriott International, Inc",Talent Pal -,"Dubai, United Arab Emirates"
DevOps Engineer - Levelset,"Levelset, a Procore Company -","Cairo, Egypt"
"Analyst, Data",ROSHN l روشن -,"Riyadh, Saudi Arabia"
Data Analyst (0 Experience Required),Peroptyx -,"Riyadh, Saudi Arabia"
Data Analyst,Rubikal -,"Cairo, Egypt"
"Full Stack Engineer, Totogi (Remote) - $100,000/year USD",Crossover -,"Cairo, Egypt"
"Data Analyst, Trilogy (Remote) - $100,000/year USD",Crossover -,"Cairo, Egypt"
DevOps Engineer,Foreground Consultancy -,"Dubai, United Arab Emirates"
SDET (Software Development Engineer in Test),leantech.me -,"Dubai, United Arab Emirates"
Senior Data Engineer - ETL and IoT Integration Specialist,Confidential -,"6th of October, Giza, Egypt"
Security Consultant,Help AG -,"Abu Dhabi, United Arab Emirates"
Senior Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt"
Learning & Development Officer,Centro Olaya -,"Riyadh, Saudi Arabia"
Windows Administrator,Emaratech -,"Dubai, United Arab Emirates"
DevOps Engineer,Adecco -,"Dubai, United Arab Emirates"
Odoo Developer,Vettib -,"Nasr City, Cairo, Egypt"
Cloud Engineer,Link Datacenter -,"Maadi, Cairo, Egypt"
Data Analyst,Ali Bin Ali -,"Doha, Qatar"
Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt"
Backup Administrator - (Proficiency in French Language is required),DeepSource -,"Cairo, Egypt"
Lead Operation Engineer,NPCC -,"Dubai, United Arab Emirates"
