Title,Salary,Rate
 DAZY فستان موحدة اللون أزرار أمامية دانتيل,SR133.00,4
 SHEIN EZwear بنطلون فلير بحزام خصر واسع,SR34.20,4
 SHEIN ICON تي شيرت موسيقى الروك المنحطة ياقة غير متماثل محبوك مضلع,SR20.25,4
 SHEIN Mulvari الصلبة اللون ارتفاع الخصر فستان طويل الأكمام,SR42.50,4
 معطف بأزرار وشال ملون واحد,SR105.02,4
 SHEIN BASICS لباس علوي تانك موحدة اللون أهيف,SR20.70,4
 SHEIN EZwear فستان ضيق موحدة اللون محبوك مضلع,SR31.50,4
 سترة بطباعة حروف ملونة وأكمام راجلان وسحاب نصف فتحة,SR44.00,4
 SHEIN Najma فستان بحزام طباعة بيزلي مطرز,SR168.00,4
 DAZY سترة محبوكة صلبة بأضلاع,SR30.00,4
 SHEIN Privé فستان بأكمام جرس وأكتاف متباينة,SR48.60,4
 SHEIN Essnce بنطلون بساق واسع موحدة اللون,SR27.00,4
 SHEIN EZwear ملابس صيفية تي شيرت نسائي كاجوال وبسيط فضفاض بأكمام قصيرة ورقبة دائرية، مناسب لفصل الصيف,SR27.00,4
 Dazy Star قميص نسائي بأكمام منتفخة وياقة متباينة,SR60.00,4
 SHEIN MOD بنطلون بساق مستقيم خصر عالي,SR63.90,4
 SHEIN Modely فستان بشريط A ياقة مربع,SR86.40,4
 DAZY تنورة ذو تجاعيد موحدة اللون,SR60.00,4
 SHEIN Modely فستان موحدة اللون أكمام فانوس بتفاصيل لؤلؤ,SR90.00,4
 SHEIN Modely فستان موحدة اللون وقوف الياقة حافة طبقات,SR117.90,4
 SHEIN EZwear سترة سوداء للنساء بسحاب Y2k و فتحات إبهام,SR41.00,4
 بنطلون جينز حافة خام ساق عريضة,SR77.00,4
 SHEIN Frenchy سترة بدلة بأكمام طويلة وياقة مثنية,SR49.50,4
 DAZY سويتر بنمط مخطط بأكتاف منسدلة,SR47.25,4
 SHEIN Coolane تيشرت نسائي بطبعة العنكبوت,SR22.00,4
 DAZY قميص مخطط عمودي منخفض الاكتاف مقلم بكشكش,SR59.00,4
 SHEIN Najma فستان شيفرون مطرز برقبة قصيرة مزين بأطراف ترتر,SR61.20,4
 SHEIN Privé 3 قطع تي شيرت بياقة واقفة وأكمام تشبه جناح الخفاش,SR53.10,4
 SHEIN MOD فستان موحدة اللون بتفاصيل مكشكش,SR51.00,4
 SHEIN Mulvari فستان نسائي برقبة مربعة وأكمام منتفخة,SR55.00,4
 SHEIN EZwear بنطلون بساق واسع خصر عالي,SR33.30,4
 DAZY بنطلون جينز جيب مائل ساق عريضة,SR82.00,4
 SHEIN LUNE سروال نسائي بطيات بتأثير معدني,SR55.00,4
 هودي مع رباط قابل للتعديل ورقعة للنساء,SR48.00,4
 SHEIN Privé قميص موحدة اللون منخفض الاكتاف و بنطلون بساق واسع,SR59.40,4
 SHEIN Privé فستان نسائي بأكمام فانوس مطبوع بتقنية ربط العنق مع حاشية ملتفة,SR58.00,4
 SHEIN MOD لباس علوي تانك قصير رباط جانبي بدون بلوزة,SR34.00,4
 SHEIN Modely فستان طباعة الأزهار أكمام فانوس,SR79.20,4
 SHEIN Essnce بنطلون بساق واسع وخصر عالي ورباط,SR59.40,4
 SHEIN Privé فستان بياقة V وأكمام منتفخة وطبعة زهور,SR63.00,4
 DAZY فستان مكشوف الكتف أكمام فانوس حافة حورية البحر,SR102.00,4
 DAZY فستان طباعة الأزهار أكمام فانوس,SR76.00,4
 SHEIN MOD بنطلون بساق واسع جيب مصحح,SR38.50,4
 SHEIN Privé فستان بأكمام جرس ذات تموجات مربعة عنق,SR79.00,4
 SHEIN Mulvari بصدر مدرز فستان برسن و طباعة هندسية اكمام منتفضة معطف,SR106.00,4
 SHEIN EZwear بنطال واسع بساق عريضة مناسب للبس اليومي,SR54.00,4
 SHEIN LUNE كنزة صوف محبوك مضلع بياقة سلحفاة 3 قطع,SR111.60,4
 SHEIN Privé فستان وقوف الياقة أكمام فانوس حافة منديل,SR79.00,4
 SHEIN Modely ياقة طوق صف ازرار مزدوجة بليزر قصير & تنورة,SR82.00,4
 SHEIN MOD فستان كامي موحدة اللون تجاعيد,SR44.00,4
 SHEIN Modely فستان نسائي بأكمام منتفخة وتفاصيل بلوك من اللون مطرز بالكامل,SR90.00,4
 SHEIN EZwear قميص بدون أكمام كاجوال للسيدات مكون من 3 قطع/عبوة ضيقة برقبة دائرية، أسود/أبيض/رمادي,SR41.00,4
